CVE_ID,Published_Date,Last_Modified,Severity,CVSS_Score,Description
CVE-1999-1146,1994-05-04T04:00:00.000,2026-06-16T21:49:49.170,,,Vulnerability in Glance and gpm programs in GlancePlus for HP-UX 9.x and earlier allows local users to access arbitrary files and gain privileges.
CVE-1999-1388,1994-05-13T04:00:00.000,2026-06-16T21:50:19.997,,,passwd in SunOS 4.1.x allows local users to overwrite arbitrary files via a symlink attack and the -F command line argument.
CVE-1999-1134,1994-05-18T04:00:00.000,2026-06-16T21:49:47.570,,,"Vulnerability in Vue 3.0 in HP 9.x allows local users to gain root privileges, as fixed by PHSS_4038, PHSS_4055, and PHSS_4066."
CVE-1999-0113,1994-05-23T04:00:00.000,2026-06-16T21:47:36.820,,,Some implementations of rlogin allow root access if given a -froot parameter.
CVE-1999-0423,1994-06-01T04:00:00.000,2026-06-16T21:48:21.910,,,Vulnerability in hpterm on HP-UX 10.20 allows local users to gain additional privileges.
CVE-1999-0337,1994-06-03T04:00:00.000,2026-06-16T21:48:10.850,,,AIX batch queue (bsh) allows local and remote users to gain additional privileges when network printing is enabled.
CVE-1999-0207,1994-06-09T04:00:00.000,2026-06-16T21:47:54.727,,,"Remote attacker can execute commands through Majordomo using the Reply-To field and a ""lists"" command."
CVE-1999-1239,1994-07-13T04:00:00.000,2026-06-16T21:50:00.910,,,"HP-UX 9.x does not properly enable the Xauthority mechanism in certain conditions, which could allow local users to access the X display even when they have not explicitly been authorized to do so."
CVE-1999-1552,1994-07-20T04:00:00.000,2026-06-16T21:50:42.100,,,"dpsexec (DPS Server) when running under XDM in IBM AIX 3.2.5 and earlier does not properly check privileges, which allows local users to overwrite arbitrary files and gain privileges."
CVE-1999-1494,1994-08-09T04:00:00.000,2026-06-16T21:50:33.680,,,"colorview in Silicon Graphics IRIX 5.1, 5.2, and 6.0 allows local attackers to read arbitrary files via the -text argument."
CVE-1999-1219,1994-08-11T04:00:00.000,2026-06-16T21:49:58.367,,,"Vulnerability in sgihelp in the SGI help system and print manager in IRIX 5.2 and earlier allows local users to gain root privileges, possibly through the clogin command."
CVE-1999-1238,1994-09-21T04:00:00.000,2026-06-16T21:50:00.780,,,Vulnerability in CORE-DIAG fileset in HP message catalog in HP-UX 9.05 and earlier allows local users to gain privileges.
CVE-1999-1022,1994-10-02T04:00:00.000,2026-06-16T21:49:32.487,,,"serial_ports administrative program in IRIX 4.x and 5.x trusts the user's PATH environmental variable to find and execute the ls program, which allows local users to gain root privileges via a Trojan horse ls program."
CVE-1999-1310,1994-11-04T05:00:00.000,2023-11-07T01:55:08.250,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-1999-1022.  Reason: This candidate is a duplicate of CVE-1999-1022.  Notes: All CVE users should reference CVE-1999-1022 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage
CVE-1999-1248,1994-11-30T05:00:00.000,2026-06-16T21:50:02.033,,,Vulnerability in Support Watch (aka SupportWatch) in HP-UX 8.0 through 9.0 allows local users to gain privileges.
CVE-1999-1302,1994-11-30T05:00:00.000,2026-06-16T21:50:09.070,,,Unspecified vulnerability in pt_chmod in SCO UNIX 4.2 and earlier allows local users to gain root access.
CVE-1999-1303,1994-11-30T05:00:00.000,2026-06-16T21:50:09.200,,,Vulnerability in prwarn in SCO UNIX 4.2 and earlier allows local users to gain root access.
CVE-1999-1304,1994-11-30T05:00:00.000,2026-06-16T21:50:09.323,,,Vulnerability in login in SCO UNIX 4.2 and earlier allows local users to gain root access.
CVE-1999-1305,1994-11-30T05:00:00.000,2026-06-16T21:50:09.447,,,"Vulnerability in ""at"" program in SCO UNIX 4.2 and earlier allows local users to gain root access."
CVE-2000-0508,1994-12-19T05:00:00.000,2026-06-16T21:51:53.130,,,rpc.lockd in Red Hat Linux 6.1 and 6.2 allows remote attackers to cause a denial of service via a malformed request.
CVE-1999-0077,1995-01-01T05:00:00.000,2026-06-16T21:47:31.603,,,Predictable TCP sequence numbers allow spoofing.
CVE-1999-0232,1995-02-01T05:00:00.000,2026-06-16T21:47:57.893,,,Buffer overflow in NCSA WebServer (version 1.5c) gives remote access.
CVE-1999-0235,1995-02-17T05:00:00.000,2026-06-16T21:47:58.270,,,Buffer overflow in NCSA WebServer (1.4.1 and below) gives remote access.
CVE-1999-0242,1995-03-01T05:00:00.000,2026-06-16T21:47:59.133,,,Remote attackers can access mail files via POP3 in some Linux systems that are using shadow passwords.
CVE-1999-1098,1995-03-03T05:00:00.000,2026-06-16T21:49:43.067,,,Vulnerability in BSD Telnet client with encryption and Kerberos 4 authentication allows remote attackers to decrypt the session via sniffing.
CVE-1999-1243,1995-03-03T05:00:00.000,2026-06-16T21:50:01.407,,,SGI Desktop Permissions Tool in IRIX 6.0.1 and earlier allows local users to modify permissions for arbitrary files and gain privileges.
CVE-1999-0151,1995-04-03T04:00:00.000,2026-06-16T21:47:42.540,,,"The SATAN session key may be disclosed if the user points the web browser to other sites, possibly allowing root access."
CVE-1999-1080,1995-05-10T04:00:00.000,2026-06-16T21:49:40.773,,,"rmmount in SunOS 5.7 may mount file systems without the nosuid flag set, contrary to the documentation and its use in previous versions of SunOS, which could allow local users with physical access to gain root privileges by mounting a floppy or CD-ROM that contains a setuid program and running volcheck, when the file systems do not have the nosuid option specified in rmmount.conf."
CVE-1999-0066,1995-07-31T04:00:00.000,2026-06-16T21:47:29.853,CRITICAL,9.8,AnyForm CGI remote execution.
CVE-1999-0161,1995-07-31T04:00:00.000,2026-06-16T21:47:43.920,,,"In Cisco IOS 10.3, with the tacacs-ds or tacacs keyword, an extended IP access control list could bypass filtering."
CVE-1999-0172,1995-08-02T04:00:00.000,2026-06-16T21:47:45.293,,,FormMail CGI program allows remote execution of commands.
CVE-1999-0203,1995-08-17T04:00:00.000,2026-06-16T21:47:54.237,,,"In Sendmail, attackers can gain root privileges via SMTP by specifying an improper ""mail from"" address and an invalid ""rcpt to"" address that would cause the mail to bounce to a program."
CVE-1999-1580,1995-08-23T04:00:00.000,2026-06-16T21:50:45.923,,,"SunOS sendmail 5.59 through 5.65 uses popen to process a forwarding host argument, which allows local users to gain root privileges by modifying the IFS (Internal Field Separator) variable and passing crafted values to the -oR option."
CVE-1999-0164,1995-08-29T04:00:00.000,2026-06-16T21:47:44.273,,,A race condition in the Solaris ps command allows an attacker to overwrite critical files.
CVE-1999-0155,1995-08-31T04:00:00.000,2026-06-16T21:47:43.100,,,The ghostscript command with the -dSAFER option allows remote attackers to execute commands.
CVE-1999-0245,1995-09-07T04:00:00.000,2026-06-16T21:47:59.490,,,"Some configurations of NIS+ in Linux allowed attackers to log in as the user ""+""."
